               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10566,            0.015718,              0.0995,           0.0063857,             0.04875,           0.0088929,           0.0014833,            0.095181,            0.011483,            0.098201,              0.0874,              0.0014,              0.0014
                   1,            0.079497,            0.017801,            0.094259,           0.0069736,             0.22208,            0.020855,           0.0085061,            0.078406,            0.011993,             0.09422,            0.073894,           0.0028943,           0.0028943
                   2,            0.069731,             0.01738,            0.092823,           0.0055972,             0.82872,            0.041491,            0.012211,            0.065089,            0.009446,            0.092857,            0.060383,           0.0043826,           0.0043826
                   3,            0.067714,            0.013854,             0.09141,             0.93636,            0.031429,            0.065472,             0.02476,            0.061758,           0.0087277,             0.09024,            0.046865,            0.005865,            0.005865
                   4,             0.06556,            0.012014,            0.089916,             0.63843,             0.10577,            0.057909,            0.023222,            0.060062,           0.0084106,              0.0892,            0.033341,           0.0073414,           0.0073414
                   5,            0.063858,             0.01062,            0.088518,              0.6263,             0.16549,            0.074988,            0.020211,            0.058854,           0.0095896,            0.087653,            0.019812,           0.0088119,           0.0088119
                   6,            0.060737,            0.010239,            0.087544,             0.40109,             0.22273,            0.098021,            0.040343,            0.056122,            0.010521,            0.085929,           0.0098812,           0.0098812,           0.0098812
                   7,            0.058251,            0.010243,            0.085923,             0.98651,            0.029286,             0.09959,            0.032144,            0.060335,            0.008496,            0.085483,           0.0098812,           0.0098812,           0.0098812
                   8,            0.057458,            0.010256,            0.085391,             0.70031,              0.1264,             0.10567,            0.037499,            0.054332,           0.0075605,             0.08365,           0.0098614,           0.0098614,           0.0098614
                   9,            0.057124,           0.0093647,            0.084186,             0.60094,             0.14119,             0.11257,            0.044899,            0.052836,            0.006903,             0.08293,           0.0098416,           0.0098416,           0.0098416
                  10,            0.056115,           0.0098273,            0.083492,             0.67833,             0.12117,             0.11572,            0.047135,            0.054588,           0.0065679,            0.081381,           0.0098218,           0.0098218,           0.0098218
                  11,            0.056242,           0.0095304,            0.082711,             0.63254,             0.11909,             0.11367,            0.046776,            0.052213,           0.0065709,            0.081177,            0.009802,            0.009802,            0.009802
                  12,            0.055783,           0.0094856,            0.082277,             0.68007,             0.10334,             0.16535,             0.06523,            0.052129,           0.0061924,            0.081221,           0.0097822,           0.0097822,           0.0097822
                  13,            0.054993,           0.0095728,             0.08186,             0.67666,             0.11071,             0.14284,            0.056163,             0.05376,           0.0062335,            0.080919,           0.0097624,           0.0097624,           0.0097624
                  14,            0.055333,           0.0095027,            0.080537,             0.77463,                0.14,               0.218,            0.094687,            0.054613,           0.0063059,            0.081123,           0.0097426,           0.0097426,           0.0097426
                  15,            0.054451,            0.009611,            0.079721,             0.81479,             0.11309,             0.16448,            0.067979,            0.052476,           0.0061432,            0.081477,           0.0097228,           0.0097228,           0.0097228
                  16,             0.05433,           0.0099104,            0.079073,             0.72138,             0.16448,             0.14977,            0.055503,            0.055465,           0.0062185,            0.081594,            0.009703,            0.009703,            0.009703
                  17,            0.055296,           0.0094604,            0.077184,             0.76586,             0.15898,             0.18812,            0.080253,            0.049841,           0.0060109,            0.079028,           0.0096832,           0.0096832,           0.0096832
                  18,            0.054084,           0.0097057,            0.076108,             0.76147,             0.17831,              0.1533,             0.07043,             0.05431,           0.0058242,            0.077302,           0.0096634,           0.0096634,           0.0096634
                  19,            0.055225,           0.0094961,            0.075409,             0.88961,            0.061823,            0.091435,            0.036633,            0.085209,            0.010084,            0.091367,           0.0096436,           0.0096436,           0.0096436
                  20,            0.054791,           0.0093383,            0.074372,             0.79625,             0.17286,             0.15779,            0.066496,             0.05126,           0.0058012,            0.081539,           0.0096238,           0.0096238,           0.0096238
                  21,            0.055287,           0.0095025,            0.074722,             0.71907,             0.22104,             0.19799,            0.076296,            0.051542,           0.0059546,             0.08108,            0.009604,            0.009604,            0.009604
                  22,             0.05506,           0.0095843,            0.073634,             0.69505,              0.1949,             0.22685,            0.089923,            0.053935,           0.0060952,            0.074113,           0.0095842,           0.0095842,           0.0095842
